#     MHz     10*Log10(L.P) 10*Log10(LG1.P)
48.0480          -1.82099    -0.573948
48.3483          -1.92214    -0.541863
48.6486          -2.02913    -0.511277
48.9489          -2.14237    -0.482119
49.2492          -2.26230    -0.454328
49.5495          -2.38941    -0.427842
49.8498          -2.52423    -0.402605
50.1502          -2.66732    -0.378564
50.4505          -2.81932    -0.355671
50.7508          -2.98091    -0.333878
51.0511          -3.15284    -0.313142
51.3514          -3.33594    -0.293422
51.6517          -3.53112    -0.274680
51.9520          -3.73939    -0.256881
52.2523          -3.96186    -0.239990
52.5526          -4.19976    -0.223977
52.8529          -4.45448    -0.208811
53.1532          -4.72756    -0.194466
53.4535          -5.02075    -0.180916
53.7538          -5.33601    -0.168136
54.0541          -5.67558    -0.156104
54.3544          -6.04205    -0.144800
54.6547          -6.43838    -0.134203
54.9550          -6.86803    -0.124297
55.2553          -7.33508    -0.115064
55.5556          -7.84439    -0.106489
55.8559          -8.40182   -0.0985582
56.1562          -9.01455   -0.0912580
56.4565          -9.69151   -0.0845770
56.7568          -10.4441   -0.0785043
57.0571          -11.2869   -0.0730302
57.3574          -12.2399   -0.0681462
57.6577          -13.3301   -0.0638446
57.9580          -14.5967   -0.0601186
58.2583          -16.0986   -0.0569627
58.5586          -17.9307   -0.0543720
58.8589          -20.2586   -0.0523427
59.1592          -23.4011   -0.0508719
59.4595          -27.9829   -0.0499574
59.7598          -32.9023   -0.0495981
60.0601          -28.7216   -0.0497939
60.3604          -23.9038   -0.0505452
60.6607          -20.6205   -0.0518537
60.9610          -18.2126   -0.0537217
61.2613          -16.3304   -0.0561526
61.5616          -14.7949   -0.0591506
61.8619          -13.5044   -0.0627208
62.1622          -12.3965   -0.0668694
62.4625          -11.4300   -0.0716034
62.7628          -10.5765   -0.0769309
63.0631          -9.81552   -0.0828609
63.3634          -9.13168   -0.0894036
63.6637          -8.51327   -0.0965701
63.9640          -7.95107    -0.104373
64.2643          -7.43771    -0.112825
64.5646          -6.96717    -0.121942
64.8649          -6.53450    -0.131738
65.1652          -6.13550    -0.142232
65.4655          -5.76666    -0.153442
65.7658          -5.42495    -0.165388
66.0661          -5.10775    -0.178091
66.3664          -4.81279    -0.191574
66.6667          -4.53806    -0.205862
66.9670          -4.28180    -0.220982
67.2673          -4.04245    -0.236962
67.5676          -3.81861    -0.253832
67.8679          -3.60904    -0.271624
68.1682          -3.41260    -0.290373
68.4685          -3.22829    -0.310116
68.7688          -3.05518    -0.330891
69.0691          -2.89245    -0.352741
69.3694          -2.73935    -0.375710
69.6697          -2.59517    -0.399846
69.9700          -2.45929    -0.425199
70.2703          -2.33114    -0.451825
70.5706          -2.21019    -0.479779
70.8709          -2.09594    -0.509125
71.1712          -1.98796    -0.539927
71.4715          -1.88584    -0.572257
71.7718          -1.78920    -0.606187
72.0721          -1.69768    -0.641800
72.3724          -1.61097    -0.679179
72.6727          -1.52877    -0.718417
72.9730          -1.45080    -0.759611
73.2733          -1.37681    -0.802865
73.5736          -1.30656    -0.848291
73.8739          -1.23983    -0.896008
74.1742          -1.17642    -0.946145
74.4745          -1.11613    -0.998840
74.7748          -1.05880     -1.05424
75.0751          -1.00425     -1.11250
75.3754         -0.952338     -1.17379
75.6757         -0.902916     -1.23830
75.9760         -0.855853     -1.30622
76.2763         -0.811025     -1.37776
76.5766         -0.768316     -1.45316
76.8769         -0.727618     -1.53264
77.1772         -0.688831     -1.61649
77.4775         -0.651859     -1.70498
77.7778         -0.616614     -1.79842
78.0781         -0.583014     -1.89715
78.3784         -0.550981     -2.00153
78.6787         -0.520443     -2.11195
78.9790         -0.491331     -2.22883
79.2793         -0.463583     -2.35263
79.5796         -0.437139     -2.48387
79.8799         -0.411942     -2.62308
80.1802         -0.387941     -2.77086
80.4805         -0.365086     -2.92786
80.7808         -0.343331     -3.09480
81.0811         -0.322633     -3.27247
81.3814         -0.302951     -3.46172
81.6817         -0.284247     -3.66350
81.9820         -0.266486     -3.87887
82.2823         -0.249635     -4.10900
82.5826         -0.233661     -4.35517
82.8829         -0.218537     -4.61884
83.1832         -0.204233     -4.90164
83.4835         -0.190726     -5.20540
