#     MHz     10*Log10(L.P)   Imag(A.Z)
15.8797          -18.3374     -819.669
15.8799          -18.3308     -819.033
15.8800          -18.3241     -818.392
15.8802          -18.3174     -817.748
15.8803          -18.3106     -817.098
15.8805          -18.3037     -816.445
15.8806          -18.2968     -815.786
15.8808          -18.2899     -815.124
15.8809          -18.2829     -814.456
15.8811          -18.2758     -813.784
15.8812          -18.2687     -813.107
15.8814          -18.2615     -812.426
15.8815          -18.2543     -811.740
15.8817          -18.2470     -811.048
15.8818          -18.2397     -810.352
15.8820          -18.2323     -809.651
15.8821          -18.2248     -808.945
15.8823          -18.2173     -808.234
15.8824          -18.2097     -807.517
15.8826          -18.2021     -806.796
15.8827          -18.1944     -806.069
15.8829          -18.1866     -805.337
15.8830          -18.1788     -804.600
15.8832          -18.1709     -803.857
15.8833          -18.1629     -803.108
15.8835          -18.1549     -802.354
15.8836          -18.1468     -801.595
15.8838          -18.1386     -800.830
15.8839          -18.1304     -800.059
15.8841          -18.1221     -799.282
15.8842          -18.1137     -798.499
15.8844          -18.1053     -797.710
15.8845          -18.0968     -796.916
15.8847          -18.0882     -796.115
15.8848          -18.0795     -795.308
15.8850          -18.0708     -794.495
15.8851          -18.0620     -793.676
15.8853          -18.0531     -792.850
15.8854          -18.0441     -792.018
15.8856          -18.0351     -791.179
15.8857          -18.0259     -790.334
15.8859          -18.0167     -789.482
15.8860          -18.0074     -788.623
15.8862          -17.9980     -787.757
15.8863          -17.9886     -786.885
15.8865          -17.9790     -786.005
15.8866          -17.9694     -785.119
15.8868          -17.9597     -784.225
15.8869          -17.9498     -783.324
15.8871          -17.9399     -782.415
15.8872          -17.9299     -781.499
15.8874          -17.9198     -780.576
15.8875          -17.9096     -779.645
15.8877          -17.8993     -778.706
15.8878          -17.8890     -777.759
15.8880          -17.8785     -776.805
15.8881          -17.8679     -775.842
15.8883          -17.8572     -774.871
15.8884          -17.8464     -773.892
15.8886          -17.8355     -772.905
15.8887          -17.8245     -771.909
15.8889          -17.8134     -770.904
15.8890          -17.8022     -769.891
15.8892          -17.7908     -768.869
15.8893          -17.7794     -767.839
15.8895          -17.7678     -766.799
15.8896          -17.7562     -765.750
15.8898          -17.7444     -764.691
15.8899          -17.7324     -763.624
15.8901          -17.7204     -762.547
15.8902          -17.7082     -761.460
15.8904          -17.6959     -760.363
15.8905          -17.6835     -759.256
15.8907          -17.6710     -758.140
15.8908          -17.6583     -757.013
15.8910          -17.6454     -755.876
15.8911          -17.6325     -754.728
15.8913          -17.6194     -753.570
15.8914          -17.6062     -752.401
15.8916          -17.5928     -751.221
15.8917          -17.5792     -750.030
15.8919          -17.5656     -748.828
15.8920          -17.5517     -747.614
15.8922          -17.5378     -746.389
15.8923          -17.5236     -745.152
15.8925          -17.5093     -743.903
15.8926          -17.4949     -742.642
15.8928          -17.4802     -741.368
15.8929          -17.4655     -740.083
15.8931          -17.4505     -738.784
15.8932          -17.4354     -737.473
15.8934          -17.4201     -736.149
15.8935          -17.4046     -734.812
15.8937          -17.3889     -733.461
15.8938          -17.3730     -732.097
15.8940          -17.3570     -730.719
15.8941          -17.3408     -729.326
15.8943          -17.3243     -727.920
15.8944          -17.3077     -726.499
15.8946          -17.2908     -725.063
