#     MHz     10*Log10(L.P)   Imag(A.Z)
15.9770          -21.2001     -1143.78
15.9772          -21.1969     -1143.36
15.9773          -21.1937     -1142.94
15.9775          -21.1906     -1142.52
15.9776          -21.1874     -1142.10
15.9778          -21.1843     -1141.69
15.9779          -21.1812     -1141.27
15.9781          -21.1781     -1140.86
15.9782          -21.1750     -1140.45
15.9784          -21.1719     -1140.05
15.9785          -21.1689     -1139.64
15.9787          -21.1658     -1139.24
15.9788          -21.1628     -1138.84
15.9790          -21.1598     -1138.45
15.9791          -21.1568     -1138.05
15.9793          -21.1538     -1137.66
15.9794          -21.1508     -1137.27
15.9796          -21.1479     -1136.88
15.9797          -21.1450     -1136.49
15.9799          -21.1420     -1136.10
15.9800          -21.1391     -1135.72
15.9802          -21.1362     -1135.34
15.9803          -21.1334     -1134.96
15.9805          -21.1305     -1134.58
15.9806          -21.1276     -1134.21
15.9808          -21.1248     -1133.83
15.9809          -21.1220     -1133.46
15.9811          -21.1192     -1133.09
15.9812          -21.1164     -1132.73
15.9814          -21.1136     -1132.36
15.9815          -21.1108     -1132.00
15.9817          -21.1080     -1131.63
15.9818          -21.1053     -1131.27
15.9820          -21.1026     -1130.91
15.9821          -21.0998     -1130.56
15.9823          -21.0971     -1130.20
15.9824          -21.0944     -1129.85
15.9826          -21.0918     -1129.50
15.9827          -21.0891     -1129.15
15.9829          -21.0864     -1128.80
15.9830          -21.0838     -1128.45
15.9832          -21.0811     -1128.11
15.9833          -21.0785     -1127.76
15.9835          -21.0759     -1127.42
15.9836          -21.0733     -1127.08
15.9838          -21.0707     -1126.75
15.9839          -21.0682     -1126.41
15.9841          -21.0656     -1126.07
15.9842          -21.0630     -1125.74
15.9844          -21.0605     -1125.41
15.9845          -21.0580     -1125.08
15.9847          -21.0555     -1124.75
15.9848          -21.0530     -1124.42
15.9850          -21.0505     -1124.10
15.9851          -21.0480     -1123.77
15.9853          -21.0455     -1123.45
15.9854          -21.0430     -1123.13
15.9856          -21.0406     -1122.81
15.9857          -21.0382     -1122.49
15.9859          -21.0357     -1122.18
15.9860          -21.0333     -1121.86
15.9862          -21.0309     -1121.55
15.9863          -21.0285     -1121.24
15.9865          -21.0261     -1120.93
15.9866          -21.0237     -1120.62
15.9868          -21.0214     -1120.31
15.9869          -21.0190     -1120.01
15.9871          -21.0167     -1119.70
15.9872          -21.0143     -1119.40
15.9874          -21.0120     -1119.09
15.9875          -21.0097     -1118.79
15.9877          -21.0074     -1118.49
15.9878          -21.0051     -1118.20
15.9880          -21.0028     -1117.90
15.9881          -21.0005     -1117.61
15.9883          -20.9983     -1117.31
15.9884          -20.9960     -1117.02
15.9886          -20.9938     -1116.73
15.9887          -20.9915     -1116.44
15.9889          -20.9893     -1116.15
15.9890          -20.9871     -1115.86
15.9892          -20.9849     -1115.57
15.9893          -20.9827     -1115.29
15.9895          -20.9805     -1115.01
15.9896          -20.9783     -1114.72
15.9898          -20.9761     -1114.44
15.9899          -20.9739     -1114.16
15.9901          -20.9718     -1113.88
15.9902          -20.9696     -1113.61
15.9904          -20.9675     -1113.33
15.9905          -20.9654     -1113.06
15.9907          -20.9632     -1112.78
15.9908          -20.9611     -1112.51
15.9910          -20.9590     -1112.24
15.9911          -20.9569     -1111.97
15.9913          -20.9548     -1111.70
15.9914          -20.9528     -1111.43
15.9916          -20.9507     -1111.16
15.9917          -20.9486     -1110.90
15.9919          -20.9466     -1110.63
15.9920          -20.9445     -1110.37
15.9922          -20.9425     -1110.11
15.9923          -20.9405     -1109.84
15.9925          -20.9384     -1109.58
15.9926          -20.9364     -1109.32
15.9928          -20.9344     -1109.07
15.9929          -20.9324     -1108.81
15.9931          -20.9304     -1108.55
15.9932          -20.9285     -1108.30
15.9934          -20.9265     -1108.04
15.9935          -20.9245     -1107.79
15.9937          -20.9226     -1107.54
15.9938          -20.9206     -1107.29
15.9940          -20.9187     -1107.04
15.9941          -20.9167     -1106.79
15.9943          -20.9148     -1106.54
15.9944          -20.9129     -1106.30
15.9946          -20.9110     -1106.05
15.9947          -20.9091     -1105.81
15.9949          -20.9072     -1105.56
15.9950          -20.9053     -1105.32
15.9952          -20.9034     -1105.08
15.9953          -20.9015     -1104.84
15.9955          -20.8996     -1104.60
15.9956          -20.8978     -1104.36
15.9958          -20.8959     -1104.12
15.9959          -20.8941     -1103.88
15.9961          -20.8922     -1103.65
15.9962          -20.8904     -1103.41
15.9964          -20.8886     -1103.18
15.9965          -20.8867     -1102.95
15.9967          -20.8849     -1102.71
15.9968          -20.8831     -1102.48
15.9970          -20.8813     -1102.25
15.9971          -20.8795     -1102.02
15.9973          -20.8777     -1101.79
15.9974          -20.8759     -1101.57
15.9976          -20.8742     -1101.34
15.9977          -20.8724     -1101.11
15.9979          -20.8706     -1100.89
15.9980          -20.8689     -1100.66
15.9982          -20.8671     -1100.44
15.9983          -20.8654     -1100.22
15.9985          -20.8637     -1100.00
15.9986          -20.8619     -1099.77
15.9988          -20.8602     -1099.55
15.9989          -20.8585     -1099.34
15.9991          -20.8568     -1099.12
15.9992          -20.8551     -1098.90
15.9994          -20.8534     -1098.68
15.9995          -20.8517     -1098.47
15.9997          -20.8500     -1098.25
15.9998          -20.8483     -1098.04
16.0000          -20.8466     -1097.82
